game_id,team1_id,team2_id,team1_won,kill_diff,dragon_diff,rift_herald_diff,tower_diff,grub_diff,first_blood,first_dragon,first_herald
18021,541,547,1,2,0,1,0,0,team1,none,team1
18022,540,544,1,2,0,1,0,0,team1,none,team1
18023,543,547,0,-1,0,1,0,0,team1,none,team1
18024,541,545,1,0,0,1,0,0,team2,none,team1
18025,540,542,0,0,0,1,0,0,none,none,team1
18026,544,546,1,2,0,-1,0,0,team1,none,team2
18027,544,547,1,1,0,1,0,0,team1,none,team1
18028,540,546,0,-2,0,0,0,0,team2,none,none
18029,543,545,1,0,0,-1,0,0,team2,none,team2
18030,541,542,1,0,0,1,0,0,team2,none,team1
18031,540,541,0,0,0,-1,0,0,team2,none,team2
18032,542,543,1,2,0,1,0,0,team1,none,team1
18033,544,545,1,2,0,1,0,0,team1,none,team1
18034,546,547,1,1,0,1,0,0,team1,none,team1
18035,540,547,1,2,0,1,0,0,team1,none,team1
18036,542,544,1,-2,0,0,0,0,team2,none,none
18037,541,543,1,-1,0,1,0,0,team1,none,team1
18038,542,546,1,0,0,-1,0,0,team1,none,team2
18039,541,544,1,4,0,-1,0,0,team1,none,team2
18040,540,543,1,1,0,1,0,0,team1,none,team1
18041,545,547,0,-2,0,-1,0,0,team2,none,team2
18042,543,544,0,1,0,0,0,0,team2,none,none
18043,542,547,1,0,0,1,0,0,team2,none,team1
18044,541,546,1,-1,0,0,0,0,team2,none,none
18045,540,545,1,-1,0,-1,0,0,team2,none,team2
18046,542,545,1,0,0,1,0,0,none,none,team1
18047,543,546,1,3,0,1,0,0,team1,none,team1
18048,541,547,1,3,0,-1,0,0,team1,none,team2
18049,540,544,1,-1,0,0,0,0,team2,none,none
18050,543,547,0,-3,0,-1,0,0,team2,none,team2
18051,541,545,1,-3,0,-1,0,0,team2,none,team2
18052,540,542,0,-1,0,1,0,0,team2,none,team1
18053,544,546,0,0,0,1,0,0,team2,none,team1
18054,544,547,1,1,0,1,0,0,team1,none,team1
18055,540,546,1,2,0,1,0,0,team1,none,team1
18056,543,545,1,-1,0,1,0,0,team2,none,team1
18057,541,542,1,1,0,-1,0,0,team1,none,team2
18058,137,143,1,-1,0,-1,0,0,team2,none,team2
18059,452,458,1,1,0,0,0,0,team1,none,none
18060,145,441,1,3,0,1,0,0,team1,none,team1
18061,450,455,0,-1,0,-1,0,0,team2,none,team2
18062,457,539,1,1,0,0,0,0,team1,none,none
18063,143,441,0,0,0,-1,0,0,team1,none,team2
18064,450,452,1,0,0,1,-1,0,team1,none,team1
18065,137,539,1,7,0,0,0,0,team1,none,none
18066,457,458,0,3,0,-1,0,0,team1,none,team2
18067,145,455,1,1,0,1,0,0,team1,none,team1
18068,143,457,0,0,0,-1,0,0,team2,none,team2
18069,455,539,1,0,0,1,0,0,none,none,team1
18070,145,450,0,1,0,1,0,0,team2,none,team1
18071,441,458,1,0,0,1,0,0,team2,none,team1
18072,137,452,1,1,0,-1,0,0,team2,none,team2
18073,143,452,0,2,0,1,0,0,team1,none,team1
18074,137,441,1,1,0,1,0,0,team2,none,team1
18075,450,458,1,-3,0,-1,0,0,team2,none,team2
18076,145,539,0,-1,0,1,0,0,team1,none,team1
18077,245,491,1,0,0,1,0,0,none,none,team1
18078,250,328,1,3,0,1,0,0,team1,none,team1
18079,455,457,1,1,0,-1,0,0,team1,none,team2
18080,242,327,1,-1,0,-1,0,0,team2,none,team2
18081,143,539,1,-2,0,-1,0,0,team2,none,team2
18082,215,549,0,-1,0,-1,0,0,team2,none,team2
18083,450,457,1,7,0,1,0,0,team1,none,team1
18084,242,328,1,3,0,1,0,0,team1,none,team1
18085,441,455,0,0,0,-1,0,0,none,none,team2
18086,145,452,0,1,0,-1,0,0,team2,none,team2
18087,245,549,1,2,0,-1,0,0,team1,none,team2
18088,215,250,1,1,0,1,0,0,team1,none,team1
18089,137,458,0,0,0,-1,0,0,none,none,team2
18090,327,491,1,0,0,1,0,0,none,none,team1
18091,450,539,1,2,0,-1,0,0,team2,none,team2
18092,441,457,1,1,0,-1,0,0,team1,none,team2
18093,245,328,1,3,0,1,0,0,team1,none,team1
18094,452,455,0,-1,0,-1,0,0,team1,none,team2
18095,137,145,1,-2,0,1,0,0,team2,none,team1
18096,242,250,0,-1,0,-1,0,0,team2,none,team2
18097,143,458,0,-1,0,1,0,0,team2,none,team1
18098,215,327,1,2,0,-1,0,0,team1,none,team2
18099,491,549,0,0,0,1,0,0,none,none,team1
18100,441,450,1,1,0,-1,0,0,team1,none,team2
